pos,neg,positive_count,negative_count
positive,negative,1,0
positive,negative,2,0
positive,negative,3,0
positive,negative,3,1
positive,negative,4,1
positive,negative,5,1
positive,negative,6,1
positive,negative,7,1
positive,negative,8,1
positive,negative,8,1
positive,negative,9,1
positive,negative,10,1
positive,negative,11,1
positive,negative,12,1
positive,negative,13,1
positive,negative,14,1
positive,negative,15,1
positive,negative,16,1
positive,negative,16,2
positive,negative,17,2
positive,negative,18,2
positive,negative,19,2
positive,negative,20,2
positive,negative,21,2
positive,negative,21,2
positive,negative,22,2
positive,negative,23,2
positive,negative,24,2
positive,negative,25,2
positive,negative,26,2
positive,negative,27,2
positive,negative,28,2
positive,negative,29,2
positive,negative,29,3
positive,negative,30,3
positive,negative,31,3
positive,negative,32,3
positive,negative,33,3
positive,negative,34,3
positive,negative,34,3
positive,negative,35,3
positive,negative,36,3
positive,negative,37,3
positive,negative,38,3
positive,negative,39,3
positive,negative,40,3
positive,negative,41,3
positive,negative,42,3
positive,negative,42,4
positive,negative,43,4
positive,negative,44,4
positive,negative,45,4
positive,negative,46,4
positive,negative,47,4
positive,negative,47,4
positive,negative,48,4
positive,negative,49,4
positive,negative,50,4
positive,negative,51,4
positive,negative,52,4
positive,negative,53,4
positive,negative,54,4
positive,negative,55,4
positive,negative,55,5
positive,negative,56,5
positive,negative,57,5
positive,negative,58,5
positive,negative,59,5
positive,negative,60,5
positive,negative,60,5
positive,negative,61,5
positive,negative,62,5
positive,negative,63,5
positive,negative,64,5
positive,negative,65,5
positive,negative,66,5
positive,negative,67,5
positive,negative,68,5
positive,negative,68,6
positive,negative,69,6
positive,negative,70,6
positive,negative,71,6
positive,negative,72,6
positive,negative,73,6
positive,negative,73,6
positive,negative,74,6
positive,negative,75,6
positive,negative,76,6
positive,negative,77,6
positive,negative,78,6
positive,negative,79,6
positive,negative,80,6
positive,negative,81,6
positive,negative,81,7
positive,negative,82,7
positive,negative,83,7
positive,negative,84,7
positive,negative,85,7
positive,negative,86,7
positive,negative,86,7
positive,negative,87,7
positive,negative,88,7
positive,negative,89,7
positive,negative,90,7
positive,negative,91,7
